#beta uc1  uc2  Rd=8, lambda=0.05 
0.01   8.22509765625    325.25634765625
0.02   8.22509765625    163.14697265625
0.03   8.22021484375    108.82568359375
0.04   8.21533203125    81.60400390625
0.05   8.21044921875    65.36865234375
0.06   8.20068359375    54.38232421875
0.07   8.19580078125    46.69189453125
0.08   8.18603515625    40.83251953125
0.09   8.17138671875    36.31591796875
0.1   8.16162109375    32.65380859375
